,roll_no,name,exam1,exam2,final_exam,class,obtain,total,per,grades
335,SMIT/GD/036,John Smith,0,9,31,GD,40,100,40.0,C
336,SMIT/GD/037,Noor Johnson,25,3,47,GD,75,100,75.0,B
337,SMIT/GD/038,Fatima Iqbal,6,22,44,GD,72,100,72.0,B
338,SMIT/GD/039,John Brown,5,24,38,GD,67,100,67.0,B
339,SMIT/GD/040,Sara Hussain,8,8,11,GD,27,100,27.0,F
340,SMIT/GD/041,Ahmed Ahmed,14,1,21,GD,36,100,36.0,F
341,SMIT/GD/042,Ayesha Hussain,20,10,25,GD,55,100,55.00000000000001,C
342,SMIT/GD/043,Fatima Khan,25,11,25,GD,61,100,61.0,B
343,SMIT/GD/044,Noor Smith,17,0,15,GD,32,100,32.0,F
344,SMIT/GD/045,David Johnson,5,22,34,GD,61,100,61.0,B
345,SMIT/GD/046,Sara Zahid,19,17,18,GD,54,100,54.0,C
346,SMIT/GD/047,Hina Malik,1,0,26,GD,27,100,27.0,F
347,SMIT/GD/048,David Ali,20,8,16,GD,44,100,44.0,C
348,SMIT/GD/049,Michael Hussain,3,12,6,GD,21,100,21.0,F
349,SMIT/GD/050,Hina Iqbal,11,12,9,GD,32,100,32.0,F
350,SMIT/GD/051,Fatima Smith,11,0,26,GD,37,100,37.0,F
351,SMIT/GD/052,Fatima Khan,3,10,50,GD,63,100,63.0,B
352,SMIT/GD/053,Noor Zahid,15,23,41,GD,79,100,79.0,B
353,SMIT/GD/054,Fatima Johnson,12,23,20,GD,55,100,55.00000000000001,C
354,SMIT/GD/055,Sara Brown,12,22,32,GD,66,100,66.0,B
355,SMIT/GD/056,Noor Zahid,5,7,19,GD,31,100,31.0,F
356,SMIT/GD/057,Ali Khan,14,22,35,GD,71,100,71.0,B
357,SMIT/GD/058,Ayesha Johnson,7,4,43,GD,54,100,54.0,C
358,SMIT/GD/059,Noor Hussain,19,2,15,GD,36,100,36.0,F
359,SMIT/GD/060,Noor Ahmed,7,9,13,GD,29,100,28.999999999999996,F
360,SMIT/GD/061,Ali Iqbal,13,9,35,GD,57,100,56.99999999999999,C
361,SMIT/GD/062,Fatima Hussain,9,3,30,GD,42,100,42.0,C
362,SMIT/GD/063,Fatima Johnson,14,16,26,GD,56,100,56.00000000000001,C
363,SMIT/GD/064,Noor Ali,21,25,20,GD,66,100,66.0,B
364,SMIT/GD/065,Ayesha Ali,23,5,38,GD,66,100,66.0,B
365,SMIT/GD/066,Ali Khan,8,4,4,GD,16,100,16.0,F
366,SMIT/GD/067,Sara Hussain,6,17,44,GD,67,100,67.0,B
367,SMIT/GD/068,Ahmed Ahmed,12,17,46,GD,75,100,75.0,B
368,SMIT/GD/069,Sara Ali,4,16,10,GD,30,100,30.0,F
369,SMIT/GD/070,John Ahmed,9,22,38,GD,69,100,69.0,B
370,SMIT/GD/071,Ali Smith,7,10,7,GD,24,100,24.0,F
371,SMIT/GD/072,Noor Smith,7,5,4,GD,16,100,16.0,F
372,SMIT/GD/073,Hina Ali,21,23,47,GD,91,100,91.0,A
373,SMIT/GD/074,Ayesha Ahmed,9,15,37,GD,61,100,61.0,B
374,SMIT/GD/075,Ahmed Iqbal,8,21,0,GD,29,100,28.999999999999996,F
375,SMIT/GD/076,Ayesha Ali,17,6,37,GD,60,100,60.0,B
376,SMIT/GD/077,Noor Khan,4,4,44,GD,52,100,52.0,C
377,SMIT/GD/078,Sara Johnson,25,23,24,GD,72,100,72.0,B
378,SMIT/GD/079,Ayesha Ali,25,1,26,GD,52,100,52.0,C
379,SMIT/GD/080,Michael Johnson,7,25,27,GD,59,100,59.0,C
380,SMIT/GD/081,Sara Hussain,7,4,32,GD,43,100,43.0,C
381,SMIT/GD/082,Fatima Brown,14,13,34,GD,61,100,61.0,B
382,SMIT/GD/083,Sara Malik,10,16,13,GD,39,100,39.0,F
383,SMIT/GD/084,John Iqbal,23,24,16,GD,63,100,63.0,B
384,SMIT/GD/085,Fatima Johnson,16,23,9,GD,48,100,48.0,C
385,SMIT/GD/086,Michael Malik,22,25,24,GD,71,100,71.0,B
386,SMIT/GD/087,Ahmed Johnson,14,15,13,GD,42,100,42.0,C
387,SMIT/GD/088,Noor Ali,25,23,25,GD,73,100,73.0,B
388,SMIT/GD/089,John Johnson,22,1,36,GD,59,100,59.0,C
389,SMIT/GD/090,Ayesha Ahmed,14,10,8,GD,32,100,32.0,F
390,SMIT/GD/091,Sara Iqbal,9,21,20,GD,50,100,50.0,C
391,SMIT/GD/092,Fatima Iqbal,20,24,49,GD,93,100,93.0,A
392,SMIT/GD/093,Sara Iqbal,14,21,10,GD,45,100,45.0,C
393,SMIT/GD/094,John Johnson,22,22,3,GD,47,100,47.0,C
394,SMIT/GD/095,Ali Ali,11,23,13,GD,47,100,47.0,C
395,SMIT/GD/096,John Smith,13,22,5,GD,40,100,40.0,C
396,SMIT/GD/097,Sara Khan,23,18,1,GD,42,100,42.0,C
397,SMIT/GD/098,David Malik,13,3,26,GD,42,100,42.0,C
398,SMIT/GD/099,Ahmed Iqbal,2,25,25,GD,52,100,52.0,C
399,SMIT/GD/100,Michael Zahid,6,7,15,GD,28,100,28.000000000000004,F
400,SMIT/MAW/001,Ahmed Ali,6,2,12,MAW,20,100,20.0,F
401,SMIT/MAW/002,Ali Zahid,12,0,7,MAW,19,100,19.0,F
402,SMIT/MAW/003,John Smith,7,21,15,MAW,43,100,43.0,C
403,SMIT/MAW/004,Ahmed Malik,7,16,24,MAW,47,100,47.0,C
404,SMIT/MAW/005,Michael Johnson,5,11,14,MAW,30,100,30.0,F
405,SMIT/MAW/006,Sara Johnson,24,22,47,MAW,93,100,93.0,A
406,SMIT/MAW/007,Ahmed Ahmed,18,22,8,MAW,48,100,48.0,C
407,SMIT/MAW/008,Ali Ali,16,17,0,MAW,33,100,33.0,F
408,SMIT/MAW/009,Ayesha Khan,21,7,12,MAW,40,100,40.0,C
409,SMIT/MAW/010,Ali Malik,10,18,33,MAW,61,100,61.0,B
410,SMIT/MAW/011,John Johnson,8,24,11,MAW,43,100,43.0,C
411,SMIT/MAW/012,John Khan,18,20,8,MAW,46,100,46.0,C
412,SMIT/MAW/013,Sara Malik,15,5,11,MAW,31,100,31.0,F
413,SMIT/MAW/014,Sara Khan,7,21,7,MAW,35,100,35.0,F
414,SMIT/MAW/015,Michael Malik,21,23,21,MAW,65,100,65.0,B
415,SMIT/MAW/016,Michael Brown,9,20,48,MAW,77,100,77.0,B
416,SMIT/MAW/017,Sara Hussain,5,10,15,MAW,30,100,30.0,F
417,SMIT/MAW/018,Michael Brown,21,20,34,MAW,75,100,75.0,B
418,SMIT/MAW/019,Hina Brown,21,1,3,MAW,25,100,25.0,F
419,SMIT/MAW/020,Ahmed Smith,19,1,36,MAW,56,100,56.00000000000001,C
420,SMIT/MAW/021,Ayesha Malik,21,10,40,MAW,71,100,71.0,B
421,SMIT/MAW/022,John Iqbal,12,5,31,MAW,48,100,48.0,C
422,SMIT/MAW/023,Noor Ali,9,25,2,MAW,36,100,36.0,F
423,SMIT/MAW/024,Sara Ali,9,11,20,MAW,40,100,40.0,C
424,SMIT/MAW/025,John Hussain,12,19,13,MAW,44,100,44.0,C
425,SMIT/MAW/026,Noor Malik,5,21,39,MAW,65,100,65.0,B
426,SMIT/MAW/027,Fatima Zahid,6,12,37,MAW,55,100,55.00000000000001,C
427,SMIT/MAW/028,Ali Hussain,15,14,39,MAW,68,100,68.0,B
428,SMIT/MAW/029,Hina Khan,16,17,27,MAW,60,100,60.0,B
429,SMIT/MAW/030,Ali Khan,8,13,25,MAW,46,100,46.0,C
430,SMIT/MAW/031,Sara Ali,8,3,28,MAW,39,100,39.0,F
431,SMIT/MAW/032,Ali Smith,1,6,25,MAW,32,100,32.0,F
432,SMIT/MAW/033,Hina Iqbal,15,2,25,MAW,42,100,42.0,C
433,SMIT/MAW/034,Michael Brown,17,15,33,MAW,65,100,65.0,B
434,SMIT/MAW/035,Fatima Zahid,2,15,40,MAW,57,100,56.99999999999999,C
435,SMIT/MAW/036,Sara Khan,21,20,22,MAW,63,100,63.0,B
436,SMIT/MAW/037,Fatima Khan,20,18,7,MAW,45,100,45.0,C
437,SMIT/MAW/038,Noor Hussain,19,15,8,MAW,42,100,42.0,C
438,SMIT/MAW/039,Ayesha Iqbal,3,24,33,MAW,60,100,60.0,B
439,SMIT/MAW/040,Hina Ali,7,24,11,MAW,42,100,42.0,C
440,SMIT/MAW/041,Noor Johnson,3,12,45,MAW,60,100,60.0,B
441,SMIT/MAW/042,Ali Zahid,0,3,43,MAW,46,100,46.0,C
442,SMIT/MAW/043,Fatima Ahmed,24,21,6,MAW,51,100,51.0,C
443,SMIT/MAW/044,Ali Khan,16,22,34,MAW,72,100,72.0,B
444,SMIT/MAW/045,John Ahmed,2,21,22,MAW,45,100,45.0,C
445,SMIT/MAW/046,Michael Brown,23,7,30,MAW,60,100,60.0,B
446,SMIT/MAW/047,David Iqbal,1,9,33,MAW,43,100,43.0,C
447,SMIT/MAW/048,Michael Brown,11,10,38,MAW,59,100,59.0,C
448,SMIT/MAW/049,Fatima Brown,5,24,48,MAW,77,100,77.0,B
449,SMIT/MAW/050,Noor Ahmed,13,23,0,MAW,36,100,36.0,F
450,SMIT/MAW/051,Fatima Iqbal,4,21,23,MAW,48,100,48.0,C
451,SMIT/MAW/052,Noor Ahmed,21,23,6,MAW,50,100,50.0,C
452,SMIT/MAW/053,Ahmed Ahmed,13,23,38,MAW,74,100,74.0,B
453,SMIT/MAW/054,Fatima Malik,23,22,10,MAW,55,100,55.00000000000001,C
454,SMIT/MAW/055,Hina Iqbal,14,0,19,MAW,33,100,33.0,F
455,SMIT/MAW/056,Ali Brown,0,13,2,MAW,15,100,15.0,F
456,SMIT/MAW/057,Fatima Zahid,20,0,38,MAW,58,100,57.99999999999999,C
457,SMIT/MAW/058,Michael Khan,0,20,7,MAW,27,100,27.0,F
458,SMIT/MAW/059,Hina Iqbal,6,10,26,MAW,42,100,42.0,C
459,SMIT/MAW/060,Noor Brown,4,12,40,MAW,56,100,56.00000000000001,C
460,SMIT/MAW/061,Hina Hussain,7,0,39,MAW,46,100,46.0,C
461,SMIT/MAW/062,Noor Smith,16,10,42,MAW,68,100,68.0,B
462,SMIT/MAW/063,David Khan,8,16,4,MAW,28,100,28.000000000000004,F
463,SMIT/MAW/064,Ayesha Khan,23,12,33,MAW,68,100,68.0,B
464,SMIT/MAW/065,Noor Hussain,5,17,33,MAW,55,100,55.00000000000001,C
465,SMIT/MAW/066,Ahmed Hussain,19,25,19,MAW,63,100,63.0,B
466,SMIT/MAW/067,Fatima Zahid,8,15,26,MAW,49,100,49.0,C
467,SMIT/MAW/068,Ali Zahid,9,20,1,MAW,30,100,30.0,F
468,SMIT/MAW/069,Ahmed Ali,8,12,45,MAW,65,100,65.0,B
469,SMIT/MAW/070,Sara Brown,2,21,30,MAW,53,100,53.0,C
470,SMIT/MAW/071,Noor Smith,6,6,28,MAW,40,100,40.0,C
471,SMIT/MAW/072,John Johnson,19,13,12,MAW,44,100,44.0,C
472,SMIT/MAW/073,David Khan,18,23,37,MAW,78,100,78.0,B
473,SMIT/MAW/074,Fatima Hussain,17,24,7,MAW,48,100,48.0,C
474,SMIT/MAW/075,Fatima Smith,22,13,8,MAW,43,100,43.0,C
475,SMIT/MAW/076,David Malik,6,3,33,MAW,42,100,42.0,C
476,SMIT/MAW/077,Ali Ahmed,4,5,30,MAW,39,100,39.0,F
477,SMIT/MAW/078,Michael Iqbal,20,9,8,MAW,37,100,37.0,F
478,SMIT/MAW/079,Ayesha Hussain,19,16,25,MAW,60,100,60.0,B
479,SMIT/MAW/080,Hina Khan,24,12,4,MAW,40,100,40.0,C
480,SMIT/MAW/081,Ahmed Brown,25,5,16,MAW,46,100,46.0,C
481,SMIT/MAW/082,Ahmed Zahid,16,20,2,MAW,38,100,38.0,F
482,SMIT/MAW/083,Ahmed Johnson,18,13,27,MAW,58,100,57.99999999999999,C
483,SMIT/MAW/084,Ahmed Zahid,8,0,26,MAW,34,100,34.0,F
484,SMIT/MAW/085,Sara Johnson,13,12,3,MAW,28,100,28.000000000000004,F
485,SMIT/MAW/086,Fatima Johnson,1,9,11,MAW,21,100,21.0,F
486,SMIT/MAW/087,Hina Johnson,24,24,30,MAW,78,100,78.0,B
487,SMIT/MAW/088,Fatima Malik,14,1,31,MAW,46,100,46.0,C
488,SMIT/MAW/089,David Brown,13,6,36,MAW,55,100,55.00000000000001,C
489,SMIT/MAW/090,David Johnson,8,17,0,MAW,25,100,25.0,F
490,SMIT/MAW/091,Sara Khan,7,18,22,MAW,47,100,47.0,C
491,SMIT/MAW/092,John Smith,20,23,41,MAW,84,100,84.0,A
492,SMIT/MAW/093,Hina Iqbal,12,1,7,MAW,20,100,20.0,F
493,SMIT/MAW/094,John Johnson,8,9,4,MAW,21,100,21.0,F
494,SMIT/MAW/095,Fatima Johnson,5,10,16,MAW,31,100,31.0,F
495,SMIT/MAW/096,Sara Zahid,8,10,45,MAW,63,100,63.0,B
496,SMIT/MAW/097,Ayesha Ali,14,3,31,MAW,48,100,48.0,C
497,SMIT/MAW/098,Michael Brown,2,20,50,MAW,72,100,72.0,B
498,SMIT/MAW/099,Sara Malik,24,6,16,MAW,46,100,46.0,C
499,SMIT/MAW/100,Noor Ali,9,11,44,MAW,64,100,64.0,B
